Airline,Date_of_Journey,Source,Destination,Route,Duration,Additional_Info,Price,Day_of_Journey,Month_of_Journey,Stops,Arrival_Day,Arrival_Month,Day_of_Journey_numbers,Duration_Categorized,Trip_distance,Dep_Day_Period,Arrival_Day_Period,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,135,No info,4667,Monday,June,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,11,40,13,55
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,730,In-flight meal not included,9663,Thursday,May,1,10,May,9,Short_duration,Medium_Dist,Evening,Ealry_Morning,21,10,9,20
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,155,No info,4804,Wednesday,April,0,None,None,24,Short_duration,Medium_Dist,Afternoon,Afternoon,17,15,19,50
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,1595,No info,14011,Sunday,March,2,04,Mar,3,Long_duration,Long_Dist,Afternoon,Afternoon,16,40,19,15
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,270,No info,5830,Monday,April,1,None,None,15,Short_duration,Long_Dist,Ealry_Morning,Afternoon,08,45,13,15
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,1355,In-flight meal not included,10262,Wednesday,June,1,13,Jun,12,Medium_duration,Long_Dist,Afternoon,Afternoon,14,00,12,35
Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,1380,No info,13381,Wednesday,June,2,13,Jun,12,Medium_duration,Long_Dist,Evening,Afternoon,20,15,19,15
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1235,In-flight meal not included,12898,Monday,May,1,28,May,27,Medium_duration,Long_Dist,Afternoon,Afternoon,16,00,12,35
GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,310,No info,19495,Wednesday,March,1,None,None,6,Short_duration,Long_Dist,Afternoon,Afternoon,14,10,19,20
IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,170,No info,3943,Wednesday,April,0,None,None,3,Short_duration,Medium_Dist,Night,Ealry_Morning,04,00,6,50
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,175,No info,4823,Wednesday,May,0,None,None,1,Short_duration,Medium_Dist,Afternoon,Evening,18,55,21,50
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,800,In-flight meal not included,7757,Monday,May,1,07,May,6,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,18,55,8,15
Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,910,No info,13292,Sunday,June,2,10,Jun,9,Medium_duration,Long_Dist,Evening,Afternoon,21,25,12,35
IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,345,No info,8238,Saturday,June,1,02,Jun,1,Short_duration,Long_Dist,Evening,Night,21,50,3,35
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,355,No info,7682,Wednesday,May,1,None,None,15,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,00,12,55
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,170,No info,4668,Tuesday,June,0,None,None,18,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,45,12,35
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,135,No info,3687,Saturday,June,0,None,None,15,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,05,9,20
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,135,No info,3687,Tuesday,June,0,None,None,18,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,05,9,20
Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,No info,13227,Wednesday,May,2,None,None,1,Medium_duration,Medium_Dist,Ealry_Morning,Evening,09,50,23,15
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,170,No info,4423,Saturday,April,0,None,None,6,Short_duration,Medium_Dist,Night,Ealry_Morning,04,00,6,50
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,1320,In-flight meal not included,10919,Saturday,June,2,16,Jun,15,Medium_duration,Long_Dist,Afternoon,Afternoon,14,35,12,35
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,330,In-flight meal not included,12373,Saturday,May,1,None,None,18,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,05,12,35
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,625,No info,5894,Thursday,June,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Evening,10,35,21,0
SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,315,No info,4649,Tuesday,May,1,None,None,21,Short_duration,Medium_Dist,Afternoon,Evening,15,05,20,20
Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,150,No info,6245,Saturday,May,0,None,None,18,Short_duration,Medium_Dist,Afternoon,Afternoon,14,15,16,45
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,375,No info,19225,Wednesday,March,1,None,None,6,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,07,00,13,15
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,715,No info,14924,Monday,June,1,None,None,3,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,05,19,0
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,665,No info,9646,Tuesday,May,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,05,18,10
Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,510,No info,8714,Friday,March,1,None,None,15,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,06,45,15,15
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1325,In-flight meal not included,12373,Saturday,May,1,19,May,18,Medium_duration,Long_Dist,Evening,Afternoon,20,55,19,0
Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,165,No info,3383,Monday,May,0,None,None,6,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,11,10,13,55
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,720,No info,13062,Thursday,March,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Evening,09,00,21,0
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,170,No check-in baggage included,3527,Sunday,March,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,45,8,35
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,170,No info,3943,Monday,May,0,None,None,27,Short_duration,Medium_Dist,Night,Ealry_Morning,04,00,6,50
Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,135,No info,4667,Friday,May,0,None,None,3,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,11,40,13,55
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,965,No info,6117,Wednesday,May,1,16,May,15,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,19,00,11,5
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,1195,In-flight meal not included,11150,Thursday,June,2,28,Jun,27,Medium_duration,Long_Dist,Evening,Afternoon,23,05,19,0
Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,195,In-flight meal not included,7202,Saturday,March,0,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,11,00,14,15
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,1520,No info,12121,Wednesday,May,1,02,May,1,Long_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,09,35,10,55
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,170,No info,4377,Sunday,March,0,28,Mar,24,Short_duration,Medium_Dist,Evening,Night,22,20,1,10
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,180,No info,3943,Tuesday,June,0,19,Jun,18,Short_duration,Medium_Dist,Evening,Night,21,15,0,15
Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,170,No info,4483,Wednesday,April,0,04,Apr,3,Short_duration,Medium_Dist,Evening,Night,23,55,2,45
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,975,No info,14231,Sunday,March,1,25,Mar,24,Medium_duration,Medium_Dist,Afternoon,Afternoon,19,45,12,0
Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,905,No info,17345,Friday,March,2,None,None,1,Medium_duration,Medium_Dist,Ealry_Morning,Evening,08,50,23,55
Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,135,No info,7414,Wednesday,March,0,None,None,6,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,05,9,20
Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,390,No info,8073,Monday,May,1,07,May,6,Short_duration,Long_Dist,Afternoon,Night,19,00,1,30
Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,1505,No info,12395,Wednesday,March,1,07,Mar,6,Long_duration,Short_Dist,Afternoon,Afternoon,15,40,16,45
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,745,No info,8366,Thursday,June,1,None,None,6,Short_duration,Medium_Dist,Ealry_Morning,Evening,09,25,21,50
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,1640,No info,5117,Wednesday,April,1,04,Apr,3,Long_duration,Long_Dist,Ealry_Morning,Ealry_Morning,06,05,9,25
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,615,No info,12524,Monday,June,1,None,None,3,Short_duration,Long_Dist,Ealry_Morning,Afternoon,08,45,19,0
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,630,No info,7191,Wednesday,May,1,16,May,15,Short_duration,Long_Dist,Afternoon,Night,15,00,1,30
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,135,No info,3687,Friday,May,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,05,9,20
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,625,No info,5894,Monday,June,1,None,None,24,Short_duration,Long_Dist,Ealry_Morning,Evening,10,35,21,0
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,170,No info,5403,Wednesday,April,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,45,12,35
Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,90,No info,3625,Monday,May,0,None,None,6,Short_duration,Short_Dist,Afternoon,Afternoon,13,55,15,25
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,800,No info,10861,Tuesday,May,2,None,None,21,Medium_duration,Long_Dist,Ealry_Morning,Afternoon,05,55,19,15
IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,135,No info,6297,Tuesday,March,0,None,None,12,Short_duration,Medium_Dist,Afternoon,Afternoon,13,20,15,35
Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,85,No info,5678,Saturday,June,0,None,None,1,Short_duration,Short_Dist,Ealry_Morning,Ealry_Morning,07,05,8,30
Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,1590,In-flight meal not included,9134,Saturday,March,1,13,Mar,9,Long_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,45,8,15
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,440,In-flight meal not included,10791,Monday,June,1,None,None,24,Short_duration,Long_Dist,Ealry_Morning,Afternoon,11,40,19,0
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,810,No info,12819,Monday,June,2,25,Jun,24,Medium_duration,Long_Dist,Evening,Afternoon,23,05,12,35
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,300,No info,6893,Thursday,March,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Ealry_Morning,05,05,10,5
Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,165,No info,7240,Saturday,March,0,None,None,9,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,50,12,35
GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,170,No info,3898,Wednesday,April,0,None,None,3,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,11,40,14,30
IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,90,No info,4049,Wednesday,April,0,None,None,3,Short_duration,Short_Dist,Ealry_Morning,Ealry_Morning,06,25,7,55
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1145,In-flight meal not included,10262,Saturday,June,1,16,Jun,15,Medium_duration,Long_Dist,Afternoon,Afternoon,17,30,12,35
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,135,No check-in baggage included,3332,Thursday,March,0,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,08,20,10,35
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,890,In-flight meal not included,10844,Sunday,June,1,10,Jun,9,Medium_duration,Medium_Dist,Evening,Afternoon,21,10,12,0
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,160,No info,7229,Sunday,March,0,None,None,24,Short_duration,Medium_Dist,Afternoon,Evening,19,55,22,35
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,1330,No info,13941,Monday,May,1,07,May,6,Medium_duration,Medium_Dist,Ealry_Morning,Night,06,30,4,40
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,575,No info,5894,Thursday,June,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Evening,11,25,21,0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,600,No info,10197,Saturday,May,1,None,None,18,Short_duration,Long_Dist,Ealry_Morning,Afternoon,09,00,19,0
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,1280,In-flight meal not included,13712,Wednesday,March,1,07,Mar,6,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,14,05,11,25
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,325,No info,5636,Monday,June,1,None,None,24,Short_duration,Long_Dist,Night,Ealry_Morning,02,00,7,25
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,1125,No info,13014,Thursday,June,2,07,Jun,6,Medium_duration,Long_Dist,Ealry_Morning,Night,09,40,4,25
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,740,In-flight meal not included,7064,Monday,April,1,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Evening,08,25,20,45
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1080,In-flight meal not included,10703,Friday,May,1,25,May,24,Medium_duration,Medium_Dist,Evening,Afternoon,20,25,14,25
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,555,No info,9646,Monday,May,1,None,None,27,Short_duration,Long_Dist,Afternoon,Evening,13,15,22,30
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,665,No info,17057,Wednesday,March,1,None,None,6,Short_duration,Long_Dist,Night,Afternoon,02,15,13,20
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,1050,No info,13817,Tuesday,March,1,13,Mar,12,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,16,55,10,25
Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,800,No info,13748,Wednesday,March,2,None,None,6,Medium_duration,Long_Dist,Ealry_Morning,Afternoon,05,55,19,15
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,155,No info,4880,Sunday,April,0,None,None,21,Short_duration,Medium_Dist,Evening,Evening,20,45,23,20
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,145,No info,3540,Friday,June,0,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,15,7,40
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,160,No check-in baggage included,3257,Wednesday,May,0,None,None,15,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,55,8,35
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,180,In-flight meal not included,6478,Monday,June,0,None,None,3,Short_duration,Medium_Dist,Afternoon,Evening,19,50,22,50
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,85,No info,8040,Tuesday,June,0,None,None,18,Short_duration,Short_Dist,Ealry_Morning,Ealry_Morning,07,05,8,30
Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,995,No info,14300,Wednesday,June,2,13,Jun,12,Medium_duration,Long_Dist,Evening,Afternoon,20,00,12,35
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,740,No info,14781,Wednesday,May,1,None,None,15,Short_duration,Medium_Dist,Ealry_Morning,Evening,08,25,20,45
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,735,No info,14939,Sunday,June,1,10,Jun,9,Short_duration,Medium_Dist,Evening,Ealry_Morning,20,00,8,15
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,450,In-flight meal not included,10262,Monday,June,1,25,Jun,24,Short_duration,Long_Dist,Evening,Night,20,55,4,25
Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,1440,No info,6528,Sunday,May,1,13,May,12,Medium_duration,Medium_Dist,Afternoon,Afternoon,14,35,14,35
Air India,2019-05-01,Banglore,Delhi,BLR → DEL,165,No info,6121,Wednesday,May,0,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,06,10,8,55
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,535,In-flight meal not included,13029,Saturday,May,2,19,May,18,Short_duration,Long_Dist,Afternoon,Night,19,30,4,25
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,430,No info,11421,Wednesday,March,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,11,40,18,50
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,870,No info,7574,Wednesday,March,1,None,None,27,Medium_duration,Long_Dist,Night,Afternoon,04,45,19,15
Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,1820,No info,11596,Thursday,May,2,10,May,9,Long_duration,Long_Dist,Afternoon,Afternoon,12,55,19,15
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,1195,No info,15129,Friday,May,2,25,May,24,Medium_duration,Long_Dist,Evening,Afternoon,23,05,19,0
IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,175,No info,5780,Friday,April,0,None,None,12,Short_duration,Medium_Dist,Afternoon,Evening,18,55,21,50
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,765,No info,9397,Sunday,May,1,13,May,12,Medium_duration,Medium_Dist,Evening,Ealry_Morning,20,20,9,5
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,610,No info,17024,Wednesday,March,1,07,Mar,6,Short_duration,Long_Dist,Afternoon,Night,18,15,4,25
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,355,No info,5281,Thursday,June,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,00,12,55
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,925,No info,10348,Saturday,May,1,None,None,18,Medium_duration,Long_Dist,Ealry_Morning,Evening,07,05,22,30
Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,965,No info,12677,Wednesday,March,1,07,Mar,6,Medium_duration,Long_Dist,Afternoon,Ealry_Morning,17,20,9,25
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,610,No info,15147,Sunday,March,1,04,Mar,3,Short_duration,Long_Dist,Afternoon,Night,15,25,1,35
Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,160,No info,4668,Wednesday,June,0,None,None,12,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,00,9,40
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,715,No info,15554,Thursday,May,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,05,19,0
SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,160,No info,3971,Tuesday,April,0,None,None,9,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,55,8,35
Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,85,No info,3100,Friday,May,0,None,None,3,Short_duration,Short_Dist,Afternoon,Afternoon,15,00,16,25
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,845,In-flight meal not included,9663,Monday,May,1,07,May,6,Medium_duration,Medium_Dist,Evening,Ealry_Morning,20,00,10,5
Air India,2019-03-01,Delhi,Cochin,DEL → BOM → COK,1215,No info,27430,Friday,March,1,02,Mar,1,Medium_duration,Long_Dist,Evening,Afternoon,23,00,19,15
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,145,No info,3540,Sunday,May,0,None,None,12,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,15,7,40
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,No info,10676,Tuesday,May,2,22,May,21,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,12,00,11,10
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,1090,No info,13044,Wednesday,June,1,13,Jun,12,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,14,05,8,15
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,960,No info,14388,Monday,May,1,07,May,6,Medium_duration,Medium_Dist,Evening,Afternoon,20,00,12,0
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,170,No info,3943,Monday,June,0,None,None,24,Short_duration,Medium_Dist,Night,Ealry_Morning,04,00,6,50
IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,140,No info,3597,Monday,June,0,None,None,3,Short_duration,Medium_Dist,Afternoon,Afternoon,14,45,17,5
Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,480,No info,5932,Thursday,March,1,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,11,50,19,50
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1015,In-flight meal not included,10262,Saturday,June,1,16,Jun,15,Medium_duration,Long_Dist,Ealry_Morning,Night,11,30,4,25
Vistara,2019-05-12,Delhi,Cochin,DEL → COK,190,No info,6216,Sunday,May,0,None,None,12,Short_duration,Long_Dist,Afternoon,Afternoon,14,40,17,50
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,165,No info,4804,Saturday,June,0,None,None,15,Short_duration,Medium_Dist,Evening,Evening,20,25,23,10
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,840,No info,14067,Tuesday,May,1,22,May,21,Medium_duration,Long_Dist,Ealry_Morning,Night,11,30,1,30
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,1430,No info,15129,Saturday,May,2,19,May,18,Medium_duration,Long_Dist,Afternoon,Afternoon,19,10,19,0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,1300,No info,13376,Thursday,June,2,07,Jun,6,Medium_duration,Long_Dist,Ealry_Morning,Night,06,45,4,25
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,1275,No info,10441,Thursday,June,2,28,Jun,27,Medium_duration,Long_Dist,Evening,Afternoon,22,00,19,15
Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,165,In-flight meal not included,4030,Friday,May,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,06,00,8,45
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,650,No info,17024,Sunday,March,1,None,None,3,Short_duration,Long_Dist,Ealry_Morning,Afternoon,08,00,18,50
Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,480,No info,13017,Tuesday,April,1,10,Apr,9,Short_duration,Long_Dist,Afternoon,Night,17,30,1,30
GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,495,No info,6686,Thursday,June,1,07,Jun,6,Short_duration,Medium_Dist,Evening,Ealry_Morning,23,30,7,45
IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,325,No info,5636,Saturday,June,1,None,None,15,Short_duration,Long_Dist,Night,Ealry_Morning,02,00,7,25
IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → COK,515,No info,6442,Sunday,June,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,35,16,10
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,710,No info,9486,Tuesday,May,1,22,May,21,Short_duration,Long_Dist,Afternoon,Night,13,05,0,55
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1655,In-flight meal not included,10844,Tuesday,May,1,22,May,21,Long_duration,Medium_Dist,Evening,Evening,20,00,23,35
Jet Airways,2019-06-03,Delhi,Cochin,DEL → ATQ → BOM → COK,505,In-flight meal not included,15318,Monday,June,2,04,Jun,3,Short_duration,Long_Dist,Evening,Night,20,00,4,25
